date,price,stocks
2021-01-15,14575.0,1124648
2021-01-22,14380.0,1114739
2021-01-29,14405.0,1113745
2021-02-05,14730.0,1106935
2021-02-19,15650.0,1100815
2021-02-26,15990.0,1122378
2021-03-05,15360.0,1136176
2021-03-12,15265.0,1138572
2021-03-19,14365.0,1140484
2021-03-26,14120.0,1139608
2021-04-02,14150.0,1136086
2021-04-09,13775.0,1129090
2021-04-16,13775.0,1128941
2021-04-23,14105.0,1127582
2021-04-30,13890.0,1118544
2021-05-07,14445.0,1116719
2021-05-14,13280.0,1116138
2021-05-21,13675.0,1112830
2021-05-28,13660.0,1107103
2021-06-04,13365.0,1100513
2021-06-11,12740.0,1092267
2021-06-18,12795.0,1082948
2021-06-25,13230.0,1074829
2021-07-02,12705.0,1066780
2021-07-09,13315.0,1058884
2021-07-16,13570.0,1060991
2021-07-23,13285.0,1056902
2021-07-30,13420.0,1060529
2021-08-06,13645.0,1060081
2021-08-13,14755.0,1056846
2021-08-20,14240.0,1053866
2021-08-27,13810.0,1046697
2021-09-03,13810.0,1045169
2021-09-10,13435.0,1038218
2021-09-17,13740.0,1033533
2021-09-24,13365.0,1037231
2021-10-08,14395.0,1043945
2021-10-15,14750.0,1041820
2021-10-22,14750.0,1044998
2021-10-29,14880.0,1046643
2021-11-05,13935.0,1044500
2021-11-12,14395.0,1039150
2021-11-19,14995.0,1038525
2021-11-26,15240.0,1035667
2021-12-03,14720.0,1033737
2021-12-10,14490.0,1027203
2021-12-17,14605.0,1019952
2021-12-24,14330.0,1015023
2021-12-31,14855.0,1011533
2022-01-07,14910.0,1006680
2022-01-14,15185.0,1005847
2022-01-21,14615.0,1006972
2022-01-28,14150.0,1004055
2022-02-11,14485.0,996336
2022-02-18,14310.0,998406
2022-02-25,13955.0,993445
2022-03-04,13725.0,989058
2022-03-11,13825.0,991420
2022-03-18,13450.0,984722
2022-03-25,13510.0,978272
2022-04-01,13830.0,976951
2022-04-08,13545.0,982434
2022-04-15,13340.0,969713
2022-04-22,13015.0,967494
2022-04-29,12915.0,965712
2022-05-06,12745.0,967208
2022-05-13,12835.0,958804
2022-05-20,13085.0,951814
2022-05-27,13220.0,941325
2022-06-10,13380.0,930326
2022-06-17,12770.0,923146
2022-06-24,12800.0,913434
2022-07-01,12995.0,915828
2022-07-08,12675.0,912201
2022-07-15,11705.0,906758
2022-07-22,11665.0,896631
2022-07-29,12230.0,896408
2022-08-05,12080.0,896568
2022-08-12,13010.0,886110
2022-08-19,12700.0,874737
2022-08-26,12670.0,868344
2022-09-02,12280.0,869662
2022-09-09,12380.0,863690
2022-09-16,12970.0,857932
2022-09-23,13085.0,853142
2022-09-30,13135.0,845592
2022-10-14,12830.0,842492
2022-10-21,12340.0,841663
2022-10-28,11835.0,836622
2022-11-04,12285.0,836974
2022-11-11,12590.0,827474
2022-11-18,12755.0,822183
2022-11-25,12735.0,808200
2022-12-02,12950.0,800917
2022-12-09,13215.0,806400
2022-12-16,13090.0,796858
2022-12-23,12575.0,794080
2022-12-30,12695.0,793026
2023-01-06,12895.0,811187
2023-01-13,13000.0,819594
2023-01-20,13390.0,820127
2023-02-03,12685.0,826690
2023-02-10,12545.0,842973
2023-02-17,12490.0,850620
2023-02-24,12590.0,851786
2023-03-03,12605.0,850092
2023-03-10,11990.0,851642
2023-03-17,11675.0,852759
2023-03-24,11720.0,845270
2023-03-31,11930.0,841127
2023-04-07,11625.0,840124
2023-04-14,11640.0,833931
2023-04-21,11860.0,827856
2023-04-28,11770.0,824571
2023-05-05,11730.0,824598
2023-05-12,12015.0,827210
2023-05-19,12215.0,813122
