date,price
2014-08-26,14765.0
2014-08-27,14835.0
2014-08-28,14640.0
2014-08-29,14490.0
2014-09-01,14315.0
2014-09-02,14460.0
2014-09-03,14345.0
2014-09-04,14470.0
2014-09-05,14100.0
2014-09-09,13530.0
2014-09-10,13480.0
2014-09-11,13410.0
2014-09-12,13520.0
2014-09-15,13565.0
2014-09-16,13545.0
2014-09-17,13580.0
2014-09-18,13325.0
2014-09-19,12835.0
2014-09-22,12435.0
2014-09-23,12210.0
2014-09-24,12275.0
2014-09-25,12060.0
2014-09-26,12415.0
2014-09-29,12120.0
2014-09-30,12220.0
2014-10-08,10700.0
2014-10-09,12580.0
2014-10-10,12295.0
2014-10-13,12650.0
2014-10-14,12650.0
2014-10-15,12630.0
2014-10-16,12480.0
2014-10-17,12705.0
2014-10-20,12765.0
2014-10-21,12815.0
2014-10-22,12880.0
2014-10-23,13230.0
2014-10-24,13375.0
2014-10-27,13080.0
2014-10-28,13215.0
2014-10-29,13490.0
2014-10-30,13325.0
2014-10-31,13310.0
2014-11-03,13155.0
2014-11-04,12840.0
2014-11-05,12265.0
2014-11-06,12300.0
2014-11-07,12615.0
2014-11-10,12695.0
2014-11-11,12655.0
2014-11-12,13015.0
2014-11-13,13045.0
2014-11-14,12935.0
2014-11-17,12885.0
2014-11-18,12515.0
2014-11-19,12715.0
2014-11-20,12835.0
2014-11-21,12670.0
2014-11-24,12725.0
2014-11-25,12845.0
2014-11-26,12620.0
2014-11-27,12800.0
2014-11-28,12730.0
2014-12-01,12350.0
2014-12-02,12550.0
2014-12-03,12515.0
2014-12-04,12680.0
2014-12-05,12615.0
2014-12-08,12300.0
2014-12-09,12285.0
2014-12-10,11965.0
2014-12-11,11910.0
2014-12-12,12235.0
2014-12-15,12455.0
2014-12-16,12445.0
2014-12-17,12440.0
2014-12-18,12440.0
2014-12-19,12435.0
2014-12-22,12380.0
2014-12-23,12170.0
2014-12-24,12320.0
2014-12-25,12550.0
2014-12-26,12520.0
2014-12-29,12710.0
2014-12-30,13315.0
2014-12-31,13590.0
2015-01-05,13365.0
2015-01-06,13625.0
2015-01-07,13350.0
2015-01-08,13200.0
2015-01-09,13250.0
2015-01-12,13285.0
2015-01-13,12920.0
2015-01-14,12425.0
2015-01-15,12625.0
2015-01-16,12650.0
2015-01-19,12750.0
2015-01-20,12675.0
2015-01-21,12985.0
2015-01-22,13220.0
2015-01-23,13190.0
2015-01-26,13070.0
2015-01-27,13320.0
2015-01-28,13280.0
2015-01-29,13145.0
2015-01-30,12875.0
2015-02-02,13255.0
2015-02-03,13280.0
2015-02-04,13500.0
2015-02-05,13325.0
2015-02-06,13745.0
2015-02-09,13680.0
2015-02-10,13555.0
2015-02-11,13650.0
2015-02-12,13620.0
2015-02-13,13930.0
2015-02-16,14085.0
2015-02-17,13880.0
2015-02-18,13155.0
2015-02-25,13850.0
2015-02-26,13575.0
2015-02-27,13440.0
2015-03-02,13250.0
2015-03-03,12895.0
2015-03-04,12935.0
2015-03-05,12810.0
2015-03-06,12700.0
2015-03-09,12815.0
2015-03-10,12490.0
2015-03-11,12705.0
2015-03-12,12865.0
2015-03-13,12735.0
2015-03-16,12580.0
2015-03-17,12555.0
2015-03-18,12495.0
2015-03-19,12540.0
2015-03-20,12560.0
2015-03-23,12975.0
2015-03-24,13050.0
2015-03-25,12930.0
2015-03-26,13065.0
2015-03-27,12815.0
2015-03-30,12640.0
2015-03-31,12540.0
2015-04-01,12595.0
2015-04-02,12770.0
2015-04-03,12775.0
2015-04-07,12880.0
2015-04-08,12630.0
2015-04-09,12300.0
2015-04-10,12350.0
2015-04-13,12630.0
2015-04-14,12670.0
2015-04-15,12645.0
2015-04-16,12760.0
2015-04-17,12725.0
2015-04-20,12715.0
2015-04-21,13230.0
2015-04-22,13225.0
2015-04-23,13335.0
2015-04-24,13460.0
2015-04-27,14195.0
2015-04-28,14280.0
2015-04-29,14060.0
2015-04-30,14470.0
2015-05-04,15005.0
2015-05-05,15005.0
2015-05-06,14995.0
2015-05-07,14705.0
2015-05-08,14650.0
2015-05-11,14760.0
2015-05-12,14630.0
2015-05-13,14710.0
2015-05-14,14240.0
2015-05-15,14320.0
2015-05-18,14485.0
2015-05-19,14340.0
2015-05-20,13615.0
2015-05-21,13810.0
2015-05-22,13895.0
2015-05-25,13955.0
2015-05-26,14370.0
2015-05-27,14550.0
2015-05-28,14700.0
2015-05-29,15010.0
2015-06-01,14750.0
2015-06-02,14730.0
2015-06-03,14385.0
2015-06-04,14490.0
2015-06-05,14350.0
2015-06-08,14275.0
2015-06-09,14275.0
2015-06-10,14425.0
2015-06-11,14485.0
2015-06-12,13885.0
2015-06-15,13895.0
2015-06-16,14015.0
2015-06-17,13900.0
2015-06-18,13685.0
2015-06-19,13725.0
2015-06-23,13720.0
2015-06-24,13835.0
2015-06-25,13370.0
2015-06-26,13380.0
2015-06-29,13330.0
2015-06-30,12800.0
2015-07-01,13225.0
2015-07-03,14425.0
2015-07-06,12735.0
2015-07-07,12515.0
2015-07-08,11910.0
2015-07-09,12235.0
2015-07-10,12165.0
2015-07-13,12150.0
2015-07-14,12120.0
2015-07-15,12205.0
2015-07-16,13335.0
2015-07-17,13220.0
2015-07-20,13275.0
2015-07-21,13480.0
2015-07-22,13275.0
2015-07-23,13295.0
2015-07-24,12720.0
2015-07-27,12455.0
2015-07-28,12660.0
2015-07-29,12695.0
2015-07-30,12695.0
2015-07-31,12620.0
2015-08-03,12415.0
2015-08-04,12290.0
2015-08-05,12255.0
2015-08-06,12080.0
2015-08-07,12110.0
2015-08-10,12250.0
2015-08-11,12175.0
2015-08-12,12310.0
2015-08-13,12490.0
2015-08-14,12280.0
2015-08-17,12150.0
2015-08-18,12025.0
2015-08-19,12075.0
2015-08-20,11880.0
2015-08-21,12035.0
2015-08-24,11320.0
2015-08-25,11295.0
2015-08-26,11170.0
2015-08-27,11440.0
2015-08-28,11565.0
2015-08-31,11430.0
2015-09-01,11450.0
2015-09-02,11220.0
2015-09-03,11315.0
2015-09-07,10180.0
2015-09-08,11600.0
2015-09-09,11625.0
2015-09-10,11765.0
2015-09-11,11860.0
2015-09-14,11670.0
2015-09-15,11500.0
2015-09-16,11730.0
2015-09-17,11645.0
2015-09-18,11555.0
2015-09-21,11640.0
2015-09-22,11495.0
2015-09-23,11490.0
2015-09-24,11500.0
2015-09-25,11665.0
2015-09-28,11580.0
2015-09-29,11255.0
2015-09-30,11280.0
2015-10-01,11300.0
2015-10-02,11300.0
2015-10-08,11390.0
2015-10-09,11855.0
2015-10-12,11800.0
2015-10-13,11820.0
2015-10-14,11710.0
2015-10-15,11725.0
2015-10-16,11610.0
2015-10-19,11365.0
2015-10-20,11375.0
2015-10-21,11145.0
2015-10-22,11210.0
2015-10-23,11310.0
2015-10-26,10980.0
2015-10-27,10805.0
2015-10-28,10830.0
2015-10-29,10920.0
2015-10-30,10810.0
2015-11-02,10890.0
2015-11-03,10615.0
2015-11-04,10705.0
2015-11-05,10540.0
2015-11-06,10545.0
2015-11-09,10500.0
2015-11-10,10740.0
2015-11-11,10675.0
2015-11-12,10760.0
2015-11-13,10870.0
2015-11-16,10520.0
2015-11-17,10520.0
2015-11-18,10480.0
2015-11-19,10300.0
2015-11-20,10340.0
2015-11-23,10395.0
2015-11-24,9675.0
2015-11-25,9845.0
2015-11-26,10105.0
2015-11-27,10020.0
2015-11-30,9880.0
2015-12-01,10155.0
2015-12-02,10385.0
2015-12-03,10220.0
2015-12-04,10190.0
2015-12-07,10465.0
2015-12-08,10200.0
2015-12-09,10205.0
2015-12-10,9960.0
2015-12-11,10235.0
2015-12-14,10230.0
2015-12-15,10120.0
2015-12-16,10180.0
2015-12-17,10105.0
2015-12-18,10270.0
2015-12-21,10755.0
2015-12-22,10695.0
2015-12-23,10665.0
2015-12-24,10590.0
2015-12-25,10630.0
2015-12-28,10335.0
2015-12-29,10520.0
2015-12-30,10610.0
2015-12-31,10540.0
2016-01-04,10160.0
2016-01-05,10190.0
2016-01-06,10070.0
2016-01-07,10080.0
2016-01-08,10090.0
2016-01-11,9700.0
2016-01-12,9640.0
2016-01-13,9850.0
2016-01-14,9885.0
2016-01-15,9795.0
2016-01-18,10150.0
2016-01-19,10345.0
2016-01-20,10265.0
2016-01-21,10200.0
2016-01-22,10385.0
2016-01-25,10320.0
2016-01-26,10155.0
2016-01-27,10400.0
2016-01-28,10190.0
2016-01-29,10210.0
2016-02-01,10190.0
2016-02-02,10200.0
2016-02-03,10155.0
2016-02-04,10335.0
2016-02-05,10195.0
2016-02-15,10530.0
2016-02-16,10535.0
2016-02-17,10450.0
2016-02-18,10470.0
2016-02-19,10615.0
2016-02-22,10705.0
2016-02-23,10645.0
2016-02-24,10585.0
2016-02-25,10540.0
2016-02-26,10360.0
2016-02-29,10280.0
2016-03-01,10355.0
2016-03-02,10560.0
2016-03-03,10675.0
2016-03-04,11310.0
2016-03-07,11705.0
2016-03-08,11610.0
2016-03-09,11350.0
2016-03-10,11185.0
2016-03-11,11345.0
2016-03-14,11270.0
2016-03-15,11085.0
2016-03-16,11270.0
2016-03-17,11775.0
2016-03-18,11700.0
2016-03-21,11845.0
2016-03-22,11775.0
2016-03-23,11550.0
2016-03-24,11505.0
2016-03-25,11710.0
2016-03-28,11540.0
2016-03-29,11310.0
2016-03-30,11370.0
2016-03-31,11370.0
2016-04-01,11440.0
2016-04-05,10970.0
2016-04-06,11615.0
2016-04-07,11590.0
2016-04-08,11650.0
2016-04-11,12220.0
2016-04-12,12425.0
2016-04-13,12525.0
2016-04-14,12550.0
2016-04-15,12350.0
2016-04-18,12510.0
2016-04-19,12740.0
2016-04-20,13170.0
2016-04-21,13445.0
2016-04-22,12930.0
2016-04-25,13055.0
2016-04-26,13015.0
2016-04-27,12945.0
2016-04-28,12710.0
2016-04-29,12755.0
2016-05-03,13000.0
2016-05-04,12725.0
2016-05-05,12360.0
2016-05-06,12260.0
2016-05-09,11785.0
2016-05-10,11895.0
2016-05-11,11875.0
2016-05-12,11800.0
2016-05-13,11245.0
2016-05-16,11240.0
2016-05-17,11355.0
2016-05-18,11100.0
2016-05-19,10845.0
2016-05-20,10860.0
