date,price,stocks,price_change,stock_diff
2014-03-19,100.37000274658205,1040152.0,0.006720218845018389,0.0
2014-03-20,99.43000030517578,1040152.0,-0.009365372279401263,0.0
2014-03-21,99.45999908447266,1046771.0,0.0003017075249400758,6619.0
2014-03-24,99.5999984741211,1046771.0,0.0014075949219498618,0.0
2014-03-25,99.19000244140624,1046771.0,-0.0041164260943376,0.0
2014-03-26,100.26000213623048,1046771.0,0.010787374417661866,0.0
2014-03-27,101.27999877929688,1046771.0,0.010173515074141326,0.0
2014-03-28,101.66999816894533,1044392.0,0.0038507049205076527,-2379.0
2014-03-31,101.58000183105467,1044392.0,-0.000885180874510394,0.0
2014-04-01,99.73999786376952,1044392.0,-0.018113840658768643,0.0
2014-04-02,99.62000274658205,1044392.0,-0.0012030792035043758,0.0
2014-04-03,100.29000091552734,1044392.0,0.006725538551225263,0.0
2014-04-04,101.13999938964844,1048070.0,0.00847540598625618,3678.0
2014-04-07,100.44000244140624,1048070.0,-0.006921069334254404,0.0
2014-04-08,102.55999755859376,1048070.0,0.02110707950673607,0.0
2014-04-09,103.5999984741211,1048070.0,0.010140414784362228,0.0
2014-04-10,103.4000015258789,1048070.0,-0.0019304725018132185,0.0
2014-04-11,103.73999786376952,1057460.0,0.0032881656950993765,9390.0
2014-04-14,104.0500030517578,1057460.0,0.002988289901406871,0.0
2014-04-15,103.75,1057460.0,-0.0028832584618817547,0.0
2014-04-16,103.76000213623048,1057460.0,9.640613234207507e-05,0.0
2014-04-17,104.3000030517578,1057460.0,0.005204326372491019,0.0
2014-04-21,104.37000274658205,1060446.0,0.0006711379940180784,2986.0
2014-04-22,102.12999725341795,1060446.0,-0.021462158035992274,0.0
2014-04-23,101.44000244140624,1060446.0,-0.006756044556621488,0.0
2014-04-24,101.94000244140624,1060446.0,0.004929021963389735,0.0
2014-04-25,100.5999984741211,1061189.0,-0.013145025850429648,743.0
2014-04-28,100.83999633789062,1061189.0,0.00238566468598167,0.0
2014-04-29,101.27999877929688,1061189.0,0.004363372246979358,0.0
2014-04-30,99.73999786376952,1061189.0,-0.015205380470859176,0.0
