date,price,stocks,price_change,stock_diff,stock_5y_avg,stock_deviation,event_covid,event_ukraine,event_mideast
2021-03-11,66.0199966430664,1136176.0,0.0245188414307837,0.0,1131352.634920635,4823.365079364972,0,0,0
2021-03-12,65.61000061035156,1138572.0,-0.0062101795450166,2396.0,1131315.0293650795,7256.970634920523,0,0,0
2021-03-15,65.38999938964844,1138572.0,-0.0033531659603187,0.0,1131277.4238095237,7294.576190476306,0,0,0
2021-03-16,64.80000305175781,1138572.0,-0.0090227304388692,0.0,1131239.8182539681,7332.181746031856,0,0,0
2021-03-17,64.5999984741211,1138572.0,-0.00308649025027,0.0,1131201.1658730158,7370.834126984235,0,0,0
2021-03-18,60.0,1138572.0,-0.0712074084020893,0.0,1131162.5134920634,7409.486507936614,0,0,0
2021-03-19,61.41999816894531,1140484.0,0.0236666361490884,1912.0,1131125.3785714286,9358.621428571409,0,0,0
2021-03-22,61.54999923706055,1140484.0,0.0021165918591798,0.0,1131088.2436507936,9395.756349206436,0,0,0
2021-03-23,57.7599983215332,1140484.0,-0.0615759701463213,0.0,1131051.1087301588,9432.891269841231,0,0,0
2021-03-24,61.18000030517578,1140484.0,0.0592105623792511,0.0,1131006.5476190476,9477.452380952425,0,0,0
2021-03-25,58.560001373291016,1140484.0,-0.0428244347632524,0.0,1130961.9865079366,9522.013492063386,0,0,0
2021-03-26,60.970001220703125,1139608.0,0.0411543680139205,-876.0,1130916.7301587302,8691.269841269823,0,0,0
2021-03-29,61.560001373291016,1139608.0,0.0096768925828321,0.0,1130871.4738095237,8736.52619047626,0,0,0
2021-03-30,60.54999923706055,1139608.0,-0.0164067919704218,0.0,1130826.2174603175,8781.782539682463,0,0,0
2021-03-31,59.15999984741211,1139608.0,-0.0229562247260552,0.0,1130779.138095238,8828.861904761987,0,0,0
2021-04-01,61.45000076293945,1139608.0,0.0387086024583132,0.0,1130732.0587301587,8875.941269841278,0,0,0
2021-04-05,58.650001525878906,1136086.0,-0.0455654874254978,-3522.0,1130682.184126984,5403.815873015905,0,0,0
2021-04-06,59.33000183105469,1136086.0,0.011594207800246,0.0,1130632.3095238095,5453.690476190532,0,0,0
2021-04-07,59.77000045776367,1136086.0,0.0074161235990166,0.0,1130586.5761904763,5499.423809523694,0,0,0
2021-04-08,59.599998474121094,1136086.0,-0.0028442694050623,0.0,1130540.842857143,5545.15714285709,0,0,0
2021-04-09,59.31999969482422,1129090.0,-0.0046979662158624,-6996.0,1130489.5571428572,-1399.5571428572293,0,0,0
2021-04-12,59.70000076293945,1129090.0,0.0064059519566785,0.0,1130438.2714285713,-1348.2714285713155,0,0,0
2021-04-13,60.18000030517578,1129090.0,0.0080401932345417,0.0,1130386.9857142856,-1296.9857142856345,0,0,0
2021-04-14,63.150001525878906,1129090.0,0.0493519642014306,0.0,1130330.4349206348,-1240.4349206348415,0,0,0
2021-04-15,63.459999084472656,1129090.0,0.0049089081726578,0.0,1130273.884126984,-1183.8841269840486,0,0,0
2021-04-16,63.130001068115234,1128941.0,-0.005200094880527,-149.0,1130217.215079365,-1276.2150793650653,0,0,0
2021-04-19,63.380001068115234,1128941.0,0.0039600823027114,0.0,1130160.546031746,-1219.546031746082,0,0,0
2021-04-20,62.439998626708984,1128941.0,-0.0148312152976459,0.0,1130103.876984127,-1162.8769841270987,0,0,0
2021-04-21,61.349998474121094,1128941.0,-0.0174567613158408,0.0,1130045.5571428572,-1104.5571428572293,0,0,0
2021-04-22,61.43000030517578,1128941.0,0.0013040233585079,0.0,1129987.2373015874,-1046.23730158736,0,0,0
2021-04-23,62.13999938964844,1127582.0,0.0115578557861872,-1359.0,1129927.838888889,-2345.838888888946,0,0,0
2021-04-26,61.90999984741211,1127582.0,-0.0037013122706055,0.0,1129868.4404761905,-2286.4404761905316,0,0,0
2021-04-27,62.939998626708984,1127582.0,0.016637034111379,0.0,1129809.0420634921,-2227.0420634921174,0,0,0
2021-04-28,63.86000061035156,1127582.0,0.0146171274819852,0.0,1129748.057936508,-2166.0579365079757,0,0,0
