date,stocks
2017-12-08,1105897
2017-12-01,1110766
2017-11-24,1118824
2017-11-17,1124617
2017-11-10,1128197
2017-11-03,1127049
2017-10-27,1125493
2017-10-20,1128718
2017-10-13,1128176
2017-10-06,1134665
2017-09-29,1138612
2017-09-22,1145587
2017-09-15,1148229
2017-09-08,1145248
2017-09-01,1140953
2017-08-25,1136653
2017-08-18,1142048
2017-08-11,1145375
2017-08-04,1154320
2017-07-28,1160772
2017-07-21,1162300
2017-07-14,1169508
2017-07-07,1174237
2017-06-30,1184951
2017-06-23,1191649
2017-06-16,1192937
2017-06-09,1196171
2017-06-02,1198233
2017-05-26,1196594
2017-05-19,1204001
2017-05-12,1208831
2017-05-05,1211312
2017-04-28,1217110
2017-04-21,1219512
2017-04-14,1223654
2017-04-07,1224887
2017-03-31,1227678
2017-03-24,1226636
2017-03-17,1226493
2017-03-10,1222165
2017-03-03,1223218
2017-02-24,1215260
2017-02-17,1213761
2017-02-10,1213197
2017-02-03,1203670
2017-01-27,1189841
2017-01-20,1183377
2017-01-13,1180537
2017-01-06,1178191
2016-12-30,1174094
2016-12-23,1181145
2016-12-16,1180532
2016-12-09,1178277
2016-12-02,1180840
2016-11-25,1183230
2016-11-18,1184115
2016-11-11,1185371
2016-11-04,1180097
2016-10-28,1177666
2016-10-21,1163247
2016-10-14,1163800
2016-10-07,1169048
2016-09-30,1164199
2016-09-23,1167176
2016-09-16,1169058
2016-09-09,1175259
2016-09-02,1175818
2016-08-26,1190332
2016-08-19,1188057
2016-08-12,1185557
2016-08-05,1188065
2016-07-29,1187013
2016-07-22,1185600
2016-07-15,1183929
2016-07-08,1186272
2016-07-01,1188820
2016-06-24,1191045
2016-06-17,1195098
2016-06-10,1196015
2016-06-03,1196948
2016-05-27,1199311
2016-05-20,1200677
2016-05-13,1204904
2016-05-06,1203594
2016-04-29,1207203
2016-04-22,1204422
2016-04-15,1202424
2016-04-08,1200344
2016-04-01,1193710
2016-03-25,1198928
2016-03-18,1196631
2016-03-11,1187274
2016-03-04,1185955
2016-02-26,1181814
2016-02-19,1171440
2016-02-12,1167939
2016-02-05,1165792
2016-01-29,1166461
2016-01-22,1158670
2016-01-15,1150287
2016-01-08,1146309
2016-01-01,1146076
2015-12-25,1150226
2015-12-18,1147600
2015-12-11,1153477
2015-12-04,1148676
2015-11-27,1152337
2015-11-20,1151160
2015-11-13,1150200
2015-11-06,1149948
2015-10-30,1145968
2015-10-23,1143121
2015-10-16,1139745
2015-10-09,1131718
2015-10-02,1124156
2015-09-25,1121116
2015-09-18,1117163
2015-09-11,1119088
