date,oil_price,stocks,price_change,stock_diff,stock_5y_avg,stock_deviation,event_covid,event_ukraine,event_mideast,rubber_price,oil_price_change,rubber_price_change,flood_TH
2016-07-08,45.40999984741211,1186272.0,0.0059814014491454,-2548.0,1101121.6329113925,85150.36708860751,0.0,0.0,0.0,10680.0,0.005981401449145496,-0.02776513427401006,0
2016-07-11,44.7599983215332,1186272.0,-0.0143140613975568,0.0,1101256.1516587678,85015.84834123217,0.0,0.0,0.0,10880.0,-0.014314061397556865,0.01872659176029967,0
2016-07-12,46.79999923706055,1186272.0,0.0455764296699254,0.0,1101390.2460567823,84881.75394321769,0.0,0.0,0.0,11000.0,0.04557642966992548,0.011029411764705843,0
2016-07-13,44.75,1186272.0,-0.0438034032153823,0.0,1101523.9181102363,84748.08188976371,0.0,0.0,0.0,11140.0,-0.04380340321538234,0.012727272727272698,0
2016-07-14,45.68000030517578,1186272.0,0.0207821297245984,0.0,1101657.1698113207,84614.83018867928,0.0,0.0,0.0,11210.0,0.020782129724598475,0.006283662477558405,0
2016-07-15,45.95000076293945,1183929.0,0.0059106929938674,-2343.0,1101786.3249607536,82142.67503924645,0.0,0.0,0.0,11405.0,0.0059106929938674835,0.017395182872435244,0
2016-07-18,45.2400016784668,1183929.0,-0.0154515576209804,0.0,1101915.0752351098,82013.92476489022,0.0,0.0,0.0,11185.0,-0.015451557620980494,-0.019289785181937802,0
2016-07-19,44.650001525878906,1183929.0,-0.0130415590339979,0.0,1102043.4225352113,81885.57746478869,0.0,0.0,0.0,11355.0,-0.013041559033997951,0.015198927134555174,0
2016-07-20,44.939998626708984,1183929.0,0.0064948956532957,0.0,1102171.36875,81757.6312500001,0.0,0.0,0.0,11445.0,0.006494895653295751,0.00792602377807139,0
2016-07-21,44.75,1183929.0,-0.004227828938919,0.0,1102298.9157566302,81630.08424336975,0.0,0.0,0.0,11630.0,-0.004227828938919043,0.016164263870685813,0
2016-07-22,44.189998626708984,1185600.0,-0.0125139971685143,1671.0,1102428.668224299,83171.3317757009,0.0,0.0,0.0,11420.0,-0.012513997168514313,-0.018056749785038684,0
2016-07-25,43.130001068115234,1185600.0,-0.0239872729471657,0.0,1102558.0171073095,83041.98289269046,0.0,0.0,0.0,11175.0,-0.02398727294716574,-0.02145359019264448,0
2016-07-26,42.91999816894531,1185600.0,-0.004869067794324,0.0,1102686.9642857143,82913.03571428568,0.0,0.0,0.0,11145.0,-0.004869067794324056,-0.0026845637583892135,0
2016-07-27,41.91999816894531,1185600.0,-0.0232991622241854,0.0,1102815.511627907,82784.48837209307,0.0,0.0,0.0,11180.0,-0.023299162224185488,0.003140421713772934,0
2016-07-28,41.13999938964844,1185600.0,-0.0186068419219231,0.0,1102943.660990712,82656.339009288,0.0,0.0,0.0,11255.0,-0.01860684192192319,0.0067084078711985295,0
2016-07-29,41.599998474121094,1187013.0,0.0111813099488864,1413.0,1103073.598145286,83939.40185471415,0.0,0.0,0.0,10845.0,0.011181309948886442,-0.03642825410928474,0
2016-08-01,40.060001373291016,1187013.0,-0.0370191624355008,0.0,1103203.134259259,83809.86574074067,0.0,0.0,0.0,10985.0,-0.03701916243550085,0.01290917473490083,0
2016-08-02,39.5099983215332,1187013.0,-0.0137294816001807,0.0,1103332.2711864407,83680.72881355928,0.0,0.0,0.0,10930.0,-0.013729481600180726,-0.005006827492034627,0
2016-08-03,40.83000183105469,1187013.0,0.0334093537230568,0.0,1103461.0107692308,83551.98923076922,0.0,0.0,0.0,12665.0,0.03340935372305687,0.15873741994510526,0
2016-08-04,41.93000030517578,1187013.0,0.0269409361937489,0.0,1103589.3548387096,83423.64516129042,0.0,0.0,0.0,12535.0,0.026940936193748932,-0.010264508487958901,0
2016-08-05,41.79999923706055,1188065.0,-0.0031004308888399,1052.0,1103718.9187116565,84346.08128834353,0.0,0.0,0.0,12700.0,-0.0031004308888399335,0.01316314319904266,0
2016-08-08,43.02000045776367,1188065.0,0.0291866326069558,0.0,1103848.0857580395,84216.91424196027,0.0,0.0,0.0,12810.0,0.029186632606955865,0.008661417322834541,0
2016-08-09,42.77000045776367,1188065.0,-0.0058112505192892,0.0,1103976.8577981652,84088.14220183482,0.0,0.0,0.0,12615.0,-0.005811250519289213,-0.015222482435597207,0
2016-08-10,41.709999084472656,1188065.0,-0.0247837587548728,0.0,1104105.2366412214,83959.76335877855,0.0,0.0,0.0,12660.0,-0.02478375875487282,0.00356718192627814,0
2016-08-11,43.4900016784668,1188065.0,0.0426756804858521,0.0,1104233.224085366,83831.77591463411,0.0,0.0,0.0,12690.0,0.04267568048585213,0.0023696682464455776,0
2016-08-12,44.4900016784668,1185557.0,0.0229937907888178,-2508.0,1104357.00456621,81199.99543378991,0.0,0.0,0.0,13035.0,0.022993790788817803,0.027186761229314405,0
2016-08-15,45.7400016784668,1185557.0,0.0280962003335909,0.0,1104480.4088145895,81076.59118541027,0.0,0.0,0.0,13140.0,0.028096200333590948,0.008055235903337232,0
2016-08-16,46.58000183105469,1185557.0,0.0183646725352732,0.0,1104603.4385432473,80953.56145675271,0.0,0.0,0.0,13100.0,0.018364672535273296,-0.0030441400304414,0
2016-08-17,46.790000915527344,1185557.0,0.0045083528599745,0.0,1104726.0954545457,80830.90454545454,0.0,0.0,0.0,13065.0,0.004508352859974529,-0.0026717557251908497,0
2016-08-18,48.220001220703125,1185557.0,0.0305620918400373,0.0,1104848.3812405446,80708.61875945539,0.0,0.0,0.0,12975.0,0.03056209184003733,-0.006888633754305373,0
2016-08-19,48.52000045776367,1188057.0,0.0062214688815009,2500.0,1104974.0740181268,83082.92598187318,0.0,0.0,0.0,13085.0,0.006221468881500991,0.008477842003853597,0
2016-08-22,47.04999923706055,1188057.0,-0.030296809703923,0.0,1105099.3876319758,82957.61236802419,0.0,0.0,0.0,12630.0,-0.03029680970392301,-0.03477264042797101,0
2016-08-23,48.099998474121094,1188057.0,0.0223166685246931,0.0,1105224.3237951808,82832.67620481923,0.0,0.0,0.0,12530.0,0.022316668524693162,-0.007917656373713333,0
2016-08-24,46.77000045776367,1188057.0,-0.0276506872879214,0.0,1105348.8842105262,82708.11578947376,0.0,0.0,0.0,12615.0,-0.027650687287921416,0.006783719074221928,0
2016-08-25,47.33000183105469,1188057.0,0.0119735165236256,0.0,1105473.0705705706,82583.92942942935,0.0,0.0,0.0,12315.0,0.01197351652362566,-0.02378121284185497,0
2016-08-26,47.63999938964844,1190332.0,0.0065497051891163,2275.0,1105600.295352324,84731.70464767609,0.0,0.0,0.0,12300.0,0.0065497051891163505,-0.0012180267965895553,0
2016-08-29,46.97999954223633,1190332.0,-0.013853901256672,0.0,1105727.139221557,84604.86077844305,0.0,0.0,0.0,12355.0,-0.013853901256672074,0.004471544715447084,0
2016-08-30,46.349998474121094,1190332.0,-0.0134099845520186,0.0,1105853.6038863976,84478.39611360244,0.0,0.0,0.0,12260.0,-0.013409984552018694,-0.007689194658033194,0
2016-08-31,44.70000076293945,1190332.0,-0.0355986572923598,0.0,1105979.6910447762,84352.30895522377,0.0,0.0,0.0,12055.0,-0.03559865729235989,-0.01672104404567698,0
2016-09-01,43.15999984741211,1190332.0,-0.0344519214595663,0.0,1106105.4023845007,84226.59761549928,0.0,0.0,0.0,12375.0,-0.034451921459566326,0.02654500207382826,0
2016-09-02,44.439998626708984,1175818.0,0.0296570617196985,-14514.0,1106209.1413690476,69608.85863095243,0.0,0.0,0.0,12390.0,0.029657061719698508,0.00121212121212122,0
2016-09-06,44.83000183105469,1175818.0,0.0087759499639432,0.0,1106312.572065379,69505.427934621,0.0,0.0,0.0,12580.0,0.008775949963943264,0.0007955449482894839,0
2016-09-07,45.5,1175818.0,0.0149453076417496,0.0,1106415.6958456973,69402.30415430269,0.0,0.0,0.0,12645.0,0.014945307641749617,0.0051669316375198004,0
2016-09-08,47.619998931884766,1175818.0,0.0465933831183464,0.0,1106518.514074074,69299.4859259259,0.0,0.0,0.0,12775.0,0.04659338311834649,0.010280743376828827,0
2016-09-09,45.880001068115234,1175259.0,-0.0365392251742467,-559.0,1106620.201183432,68638.79881656799,0.0,0.0,0.0,12775.0,-0.03653922517424679,0.0,0
2016-09-12,46.290000915527344,1175259.0,0.0089363521767011,0.0,1106721.58788774,68537.41211226,0.0,0.0,0.0,12360.0,0.00893635217670119,-0.03248532289628181,0
2016-09-13,44.900001525878906,1175259.0,-0.0300280700401148,0.0,1106822.6755162242,68436.32448377577,0.0,0.0,0.0,12440.0,-0.030028070040114874,0.006472491909385036,0
2016-09-14,43.58000183105469,1175259.0,-0.0293986559012344,0.0,1106923.46539028,68335.53460972011,0.0,0.0,0.0,12530.0,-0.02939865590123447,0.007234726688102988,0
2016-09-15,43.90999984741211,1175259.0,0.0075722350273577,0.0,1107023.9588235293,68235.0411764707,0.0,0.0,0.0,12530.0,0.00757223502735771,0.0,0
2016-09-16,43.029998779296875,1169058.0,-0.0200410173348497,-6201.0,1107115.0513950074,61942.94860499259,0.0,0.0,0.0,12530.0,-0.020041017334849753,0.0,0
2016-09-19,43.29999923706055,1169058.0,0.0062747028915459,0.0,1107205.8768328447,61852.12316715531,0.0,0.0,0.0,13010.0,0.006274702891545969,0.038308060654429266,0
2016-09-20,43.439998626708984,1169058.0,0.0032332423121295,0.0,1107296.4363103954,61761.563689604634,0.0,0.0,0.0,13225.0,0.003233242312129514,0.016525749423520475,0
2016-09-21,45.34000015258789,1169058.0,0.0437385263799408,0.0,1107386.730994152,61671.26900584786,0.0,0.0,0.0,13225.0,0.0437385263799408,0.0,0
2016-09-22,46.31999969482422,1169058.0,0.0216144582915356,0.0,1107476.7620437955,61581.23795620445,0.0,0.0,0.0,13475.0,0.021614458291535632,0.018903591682419618,0
2016-09-23,44.47999954223633,1167176.0,-0.0397236650412476,-1882.0,1107563.7871720116,59612.212827988435,0.0,0.0,0.0,13550.0,-0.03972366504124769,0.005565862708719838,0
2016-09-26,45.93000030517578,1167176.0,0.0325989383512155,0.0,1107650.558951965,59525.44104803493,0.0,0.0,0.0,13450.0,0.03259893835121552,-0.0073800738007380184,0
2016-09-27,44.66999816894531,1167176.0,-0.0274330966222197,0.0,1107737.078488372,59438.92151162797,0.0,0.0,0.0,13295.0,-0.02743309662221971,-0.011524163568773282,0
2016-09-28,47.04999923706055,1167176.0,0.053279632094765,0.0,1107823.3468795356,59352.65312046441,0.0,0.0,0.0,13460.0,0.05327963209476505,0.012410680707032773,0
2016-09-29,47.83000183105469,1167176.0,0.0165781637968602,0.0,1107909.3652173914,59266.6347826086,0.0,0.0,0.0,13325.0,0.01657816379686028,-0.010029717682020767,0
2016-09-30,48.2400016784668,1164199.0,0.0085720224067795,-2977.0,1107990.8263386397,56208.17366136029,0.0,0.0,0.0,13255.0,0.008572022406779567,-0.00525328330206376,0
